file,distance_km,denivele_m,lat_start,lon_start,lat_end,lon_end,num_points
10035191179.gpx,42.75,527.4,43.318708,1.94741,43.318041,1.947489,5381
10044645169.gpx,83.01,1641.0,43.490345,2.374815,43.318665,1.947465,12229
10082933077.gpx,80.83,896.4,43.522684,1.550141,43.522688,1.550075,10401
10120058183.gpx,33.66,381.6,43.522646,1.550131,43.52265,1.550095,7246
10123997315.gpx,76.51,995.5,43.522717,1.550294,43.519553,1.558368,12035
10143116542.gpx,72.31,1145.4,43.318757,1.947415,43.318994,1.947416,9745
10163801331.gpx,88.61,1112.7,43.522692,1.550168,43.522674,1.550139,12301
10204241096.gpx,60.16,896.9,43.522674,1.550104,43.52268,1.550167,9615
10244651939.gpx,84.57,1092.3,43.52267,1.549985,43.522832,1.550161,10808
10268040578.gpx,31.09,412.9,43.522656,1.550096,43.522654,1.550291,6728
10290597547.gpx,9.8,76.4,42.571909,2.110603,42.571988,2.110632,6078
10294834929.gpx,49.24,1039.9,42.504012,2.050909,42.504174,2.050829,10341
10295884835.gpx,6.66,227.5,42.509542,2.030716,42.50959,2.030933,6176
10300221838.gpx,71.13,1685.3,42.504096,2.050778,42.504039,2.050833,11283
10301668839.gpx,8.64,273.6,42.559362,2.001454,42.559265,2.001619,8682
10337602492.gpx,63.58,630.5,43.522898,1.550346,43.52264,1.550205,10718
10369006355.gpx,20.47,68.6,43.522696,1.55012,43.618807,1.422085,2750
10383116132.gpx,20.44,111.8,43.618728,1.422335,43.522711,1.550105,2775
10393431358.gpx,50.16,801.1,43.522693,1.550212,43.52268,1.55014,8842
10405169419.gpx,20.48,67.9,43.522721,1.550093,43.618741,1.422269,2692
10419401687.gpx,20.39,109.0,43.618736,1.422409,43.522705,1.550046,2618
10429415784.gpx,46.45,574.0,43.5227,1.550155,43.522679,1.550103,7369
10438475804.gpx,60.82,636.6,43.522696,1.550136,43.52266,1.550136,9520
10449663647.gpx,44.75,624.0,43.522645,1.55009,43.522693,1.550091,7098
10467144363.gpx,7.32,190.1,45.077263,0.493162,45.077211,0.493193,2354
10503728240.gpx,45.98,425.5,43.522647,1.550097,43.522703,1.550083,5971
10517063461.gpx,75.17,1098.8,43.318725,1.947476,43.318997,1.947395,10211
10524282830.gpx,20.57,71.1,43.52265,1.550058,43.618537,1.421816,2784
10542412779.gpx,20.45,109.0,43.618595,1.422281,43.522884,1.550019,2685
10554885076.gpx,43.72,674.8,43.522643,1.550141,43.522654,1.550175,6983
10569983880.gpx,20.57,70.9,43.522636,1.549979,43.618762,1.422324,2711
10587181030.gpx,20.77,115.7,43.618789,1.422303,43.522422,1.550029,2672
10613992029.gpx,20.58,71.0,43.522652,1.550118,43.618614,1.422038,2656
10632091819.gpx,20.44,110.1,43.618803,1.422356,43.522814,1.550058,2690
10679885968.gpx,63.13,1193.9,44.465786,3.342951,44.465253,3.344542,9050
10686562866.gpx,30.46,604.5,44.465846,3.34284,44.465773,3.342856,7460
10688940206.gpx,9.16,53.0,44.623547,3.560463,44.623524,3.560365,6220
10692932077.gpx,70.33,1122.7,44.465902,3.342863,44.468216,3.343529,9664
10706551450.gpx,20.43,68.7,43.522686,1.550067,43.618731,1.422595,2160
10727690045.gpx,62.5,1766.1,42.814223,0.319141,42.814253,0.31906,10943
10741377478.gpx,60.23,1476.1,42.820229,0.320957,42.819783,0.320371,10506
10745590407.gpx,20.45,110.5,43.618863,1.422125,43.522837,1.550088,2980
10753585384.gpx,20.53,70.1,43.522645,1.550131,43.618802,1.422407,2818
10765567568.gpx,20.94,114.7,43.618779,1.422275,43.522877,1.549961,3693
10785300178.gpx,52.69,833.3,43.52267,1.550158,43.522677,1.550104,9825
10808616624.gpx,19.9,54.0,43.522678,1.550087,43.61876,1.42226,2758
10819223436.gpx,19.71,97.3,43.618797,1.422241,43.522866,1.549882,2621
10828213627.gpx,74.53,816.5,43.318748,1.947423,43.317991,1.947466,9731
10847730701.gpx,20.02,55.7,43.522688,1.550036,43.618804,1.42244,3094
10866437684.gpx,19.71,95.9,43.618792,1.422356,43.522691,1.550106,2630
10895979416.gpx,19.74,67.5,43.522639,1.55012,43.618736,1.422248,2866
10908340835.gpx,19.54,106.3,43.618769,1.422278,43.522837,1.550027,3019
10928997234.gpx,86.37,1017.2,43.523464,1.560927,43.522653,1.550127,11213
10970072957.gpx,50.92,631.4,43.522828,1.550205,43.522638,1.550182,8599
10977827023.gpx,101.55,1311.2,43.522667,1.55008,43.522237,1.550146,13507
10984834857.gpx,43.77,706.8,43.522705,1.550097,43.522666,1.550097,6206
10994369505.gpx,23.45,102.9,43.522678,1.550148,43.618762,1.422134,3287
11012881315.gpx,19.7,97.4,43.618748,1.422352,43.522688,1.55015,2896
11015840904.gpx,5.67,246.6,42.99251,0.694999,42.992518,0.695107,4963
11020779915.gpx,37.57,713.1,42.979037,0.656393,42.979038,0.656315,10175
11027484025.gpx,73.86,1847.3,42.979064,0.656437,42.978429,0.657244,11889
11075401425.gpx,80.24,1180.4,42.928434,1.841446,42.928428,1.840697,11192
11170482437.gpx,51.7,672.6,43.522642,1.550058,43.522678,1.550178,8301
11178112099.gpx,81.15,1264.1,43.52291,1.54979,43.522938,1.55062,10757
11230768732.gpx,84.77,664.9,43.522668,1.5501,43.522729,1.550088,11913
11281368460.gpx,50.14,748.2,43.522654,1.550082,43.522873,1.550094,6729
11328761743.gpx,63.46,960.2,43.52266,1.55009,43.522707,1.550054,10959
11370595152.gpx,14.3,1047.2,42.836547,1.53358,42.834698,1.53293,18568
11375851355.gpx,80.41,1054.0,43.522651,1.550092,43.522736,1.550058,12369
11392992270.gpx,62.77,1244.0,43.450088,2.066611,43.450265,2.065936,8935
11446468152.gpx,105.57,1921.9,42.985738,1.139439,42.98582,1.139837,16359
11492228178.gpx,66.44,803.7,43.522685,1.550082,43.52306,1.548948,8438
11500322141.gpx,35.4,431.8,43.522887,1.550107,43.522652,1.550136,6608
11554242016.gpx,72.47,1100.4,43.045424,1.629636,43.045632,1.62947,10132
11605408633.gpx,86.78,953.4,43.522659,1.550118,43.522919,1.5498,12483
11664487086.gpx,76.51,927.2,43.086812,1.882208,43.087383,1.881928,10288
11674608729.gpx,20.37,32.8,43.617382,1.420828,43.618694,1.421976,4599
11682487643.gpx,22.25,30.4,43.618721,1.42269,43.617591,1.420898,2863
11690710606.gpx,20.29,28.8,43.61883,1.422186,43.618123,1.419908,2103
11711273535.gpx,67.49,2433.1,42.720195,1.84136,42.720083,1.841325,13683
11747052471.gpx,17.74,204.5,43.522709,1.550069,43.522699,1.550117,2346
11766924810.gpx,126.75,3054.9,42.845832,1.603827,42.71692,1.839758,20814
11783891761.gpx,3.1,4.7,43.617621,1.420705,43.617533,1.420906,1038
11800683489.gpx,14.06,40.8,43.617533,1.420904,43.617573,1.42112,3320
11828803661.gpx,60.45,651.9,43.522618,1.550067,43.522859,1.5501,8019
11838895436.gpx,82.63,1105.0,44.152174,1.535548,44.153382,1.75671,12136
11884359532.gpx,106.89,1138.5,43.522679,1.550093,43.522707,1.550122,14099
11928707405.gpx,18.37,71.9,43.618855,1.422236,43.524366,1.49486,2733
11933663506.gpx,66.46,685.6,43.522691,1.550093,43.522901,1.550054,10096
11970595203.gpx,30.36,596.5,43.524227,1.495254,43.524483,1.496524,4131
11979394952.gpx,20.26,257.6,43.524145,1.495051,43.52416,1.495162,4275
11991355081.gpx,33.11,466.5,43.524147,1.495017,43.524235,1.495485,5195
12045241179.gpx,30.69,555.0,43.524095,1.495079,43.524104,1.496696,4306
12059506131.gpx,73.92,1323.5,43.002098,1.131779,43.002091,1.131731,12270
12079017060.gpx,33.46,475.9,43.524121,1.495112,43.524141,1.496663,4245
12117682388.gpx,63.55,697.3,43.524135,1.495212,43.524542,1.496431,7908
12160508029.gpx,45.57,782.1,43.524093,1.495061,43.524439,1.496464,8820
12177550656.gpx,62.9,744.0,43.524111,1.495057,43.317548,1.947527,6775
12197831232.gpx,21.1,298.3,43.524105,1.495068,43.524614,1.496516,4445
13023080081.fit.gz,36.41,632.8,43.5241833049804,1.4952249079942703,43.52458312176168,1.4962561335414648,2010
13036527431.fit.gz,80.21,1139.8,43.524166624993086,1.4952056296169758,43.524122117087245,1.495143687352538,3951
13100633425.fit.gz,91.17,1612.8,43.04559691809118,1.6295002307742834,43.04559348151088,1.6295906715095043,4929
13173560167.fit.gz,60.78,781.2,43.52409839630127,1.4950616285204887,43.52456174790859,1.496288739144802,3033
13204710736.fit.gz,30.12,726.8,43.52416327223182,1.4951902907341719,43.52417760528624,1.4951571822166443,1884
13235893487.fit.gz,94.22,1331.6,43.52412572130561,1.4951073937118053,43.524039471521974,1.4949566032737494,4248
13298059959.fit.gz,40.17,593.4,43.52412270382047,1.495044194161892,43.52409169077873,1.495021227747202,2025
13329150198.fit.gz,16.18,303.2,43.52413745597005,1.4951115846633911,43.52412714622915,1.4950595330446959,883
13352827700.fit.gz,27.75,920.4,42.99011374823749,-0.20173304714262486,42.99017233774066,-0.20189976319670677,2156
13368843976.fit.gz,47.27,556.2,43.52408708073199,1.4950573537498713,43.524115327745676,1.4950038772076368,2342
13420573148.fit.gz,76.31,1156.8,43.52430308237672,1.4954112377017736,43.524117674678564,1.4951365627348423,4063
13457232552.fit.gz,4.95,95.2,43.524558981880546,1.4964526891708374,43.52451908402145,1.4963437244296074,1475
13481101984.fit.gz,64.22,797.4,43.52409948594868,1.4950922224670649,43.524139216169715,1.4951424300670624,2903
13509823964.gpx,9.63,519.4,42.768944,0.659866,42.769038,0.659993,12842
13540462357.fit.gz,70.89,1052.4,43.31874093040824,1.9474571663886309,43.31752412952483,1.947836447507143,3567
13603153122.fit.gz,90.26,1261.2,43.524204259738326,1.4953131694346666,43.524127481505275,1.4951094053685665,4726
13653834864.fit.gz,72.47,1659.8,42.80424144119024,2.234663749113679,42.80423238873482,2.234695181250572,4996
13718844203.fit.gz,60.55,747.4,43.524204259738326,1.495323395356536,43.52412857115269,1.49504947476089,2695
13770997770.fit.gz,30.43,496.2,43.52412764914334,1.4950887020677328,43.52413049899042,1.4949792344123125,1873
